类型,问题,选项1,选项2,选项3,选项4,正确答案
single,判断题：《企业落实食品安全主体责任监督管理规定》是为督促企业落实食品安全主体责任，强化企业主要负责人食品安全责任而制定。,√,×,,,B
single,判断题：《食品生产经营监督检查管理办法》适用于食品安全监督管理部门对食品（含食品添加剂）生产经营者执行食品安全法律、法规、规章和标准等情况实施监督检查。,√,×,,,A
single,判断题：《新食品原料安全性审查管理办法》为规范新食品原料安全性评估材料审查工作而制定。,√,×,,,A
single,判断题：《中华人民共和标准化法》规定，企业执行自行制定的企业标准的，还应当公开产品、服务的功能指标和产品的性能指标。,√,×,,,A
single,判断题：《中华人民共和国农产品质量安全法》规定了与农产品质量安全有关的农产品生产经营及其监督管理活动相关要求。,√,×,,,A
single,判断题：《中华人民共和国食品安全法》规定了生产经营者自查制度等要求，食品生产经营者要主动防范风险，通过定期对食品安全状况进行检查评价，发现不符合食品安全要求的，应当立即采取整改措施；发生食品安全事故潜在风险的，应当立即停止食品生产经营活动，并向所在地食品安全监督管理部门报告。,√,×,,,A
single,判断题：《中华人民共和国食品安全法》要求食品安全监管部门根据食品安全风险监测、风险评估结果和食品安全状况等，确定监督管理的重点、方式和频次，实施风险分级管理。,√,×,,,A
single,判断题：《中华人民共和国食品安全法实施条例》规定了食品安全监管部门和公安机关的协作机制，明确行政拘留与其他行政处罚的衔接程序。,√,×,,,A
single,判断题：《最高人民法院关于审理食品安全民事纠纷案件适用法律若干问题的解释》规定，经营者经营明知是不符合食品安全标准的食品，但向消费者承诺的赔偿标准高于食品安全法第一百四十八条规定的赔偿标准，消费者主张经营者按照承诺赔偿的，人民法院应当依法予以支持。,√,×,,,A
single,判断题：《最高人民法院关于审理食品安全民事纠纷案件适用法律若干问题的解释》规定，消费者因不符合食品安全标准的食品受到损害，依据食品安全法第一百四十八条第一款规定诉请食品生产者或者经营者赔偿损失，被诉的生产者或者经营者以赔偿责任应由生产经营者中的另一方承担为由主张免责的，人民法院予以支持。,√,×,,,B
single,判断题：保健食品可以声称或者暗示广告商品为保障健康所必需。,√,×,,,B
single,判断题：保健食品可以与药品、其他保健食品进行比较。,√,×,,,B
single,判断题：不安全食品是指食品安全法律法规规定禁止生产经营的食品以及其他有证据证明可能危害人体健康的食品。,√,×,,,A
single,判断题：不以掺杂、掺假、伪造为目的而使用食品添加剂。,√,×,,,A
single,判断题：餐饮服务经营者应在引导消费者按需适量点餐，提升餐饮供给质量，按照标准规范制作食品，合理确定数量、分量，提供小份餐等不同规格选择。,√,×,,,A
single,判断题：产品缺陷由生产者造成的，销售者赔偿后，不得向生产者追偿。,√,×,,,B
single,判断题：从事生猪产品销售、肉食品生产加工的单位和个人以及餐饮服务经营者、集中用餐单位生产经营的生猪产品，必须是生猪定点屠宰厂（场）经检疫和肉品品质检验合格的生猪产品。,√,×,,,A
single,判断题：单位从事食品药品违法行为的，除对单位进行处罚外，还要依法追究单位直接负责的主管人员和其他直接责任人员责任。,√,×,,,A
single,判断题：地方食品安全条例由地方省级人民代表大会根据国家有关法律法规，结合本省（区、市）实际制定，适用于在本行政区域内食品生产经营及其监督管理。,√,×,,,A
single,判断题：电子商务经营者从事经营活动，依法需要取得相关行政许可的，应当依法取得行政许可。,√,×,,,A
single,判断题：电子商务平台经营者应当要求申请进入平台销售商品或者提供服务的经营者提交其身份、地址、联系方式、行政许可等真实信息，进行核验、登记，建立登记档案，并定期核验更新。,√,×,,,A
single,判断题：对于性质恶劣的违反食品安全法律法规的行为，应当先考虑适用刑罚，后考虑适用行政处罚，防止以罚代刑。,√,×,,,A
single,判断题：飞行检查指市场监督管理部门根据监督管理工作需要以及问题线索等，对食品生产经营者依法开展的不预先告知的监督检查。,√,×,,,A
single,判断题：非食用物质是指添加或者可能添加到食品中的非食品用化学物质和其他可能危害人体健康的物质。,√,×,,,A
single,判断题：分隔是指通过在物品、设施、区域之间留有一定空间，而非通过设置物理阻断的方式进行隔离。,√,×,,,B
single,判断题：分离是指通过在物品、设施、区域之间留有一定空间等非物理阻断的方式进行隔离。,√,×,,,A
single,判断题：根据《中华人民共和国食品安全法》的规定，预包装食品标签应当标明“产品标准名称”。,√,×,,,B
single,判断题：根据《中华人民共和国食品安全法》规定，为贯彻落实食品安全法，切实加强对食品安全工作的领导，国务院设立食品安全委员会，其职责由全国人大规定。,√,×,,,B
single,判断题：根据《中华人民共和国食品安全法》规定，县级以上地方人民政府实行食品安全监督管理责任制。,√,×,,,A
single,判断题：鼓励食品生产经营企业符合良好生产规范要求，实施危害分析与关键控制点体系。,√,×,,,A
single,判断题：关键工艺参数一般是指食品生产加工中重要工艺的控制参数，该工艺参数发生改变后可影响食品关键质量或安全特性。,√,×,,,A
single,判断题：国家出入境检验检疫部门（海关）对进出口食品安全实施监督管理。,√,×,,,A
single,判断题：国家粮食和物资储备局负责粮食流通监督检查，负责粮食收购、储存、运输环节粮食质量安全和原粮卫生的监督管理，组织实施全国粮食库存检查工作。,√,×,,,A
single,判断题：国务院食品安全委员会具体工作由国家市场监督管理总局承担。,√,×,,,A
single,判断题：国务院食品安全委员会组织开展食品安全风险监测评估，依法制定并公布食品安全标准。,√,×,,,B
single,判断题：含有食品添加剂的食品一定是不安全的。,√,×,,,B
single,判断题：化学性污染是指有害化学物质对食品的污染。,√,×,,,A
single,判断题：接触表面是指食品生产过程中的设备、工器具、人体等可能被食品接触到的表面。,√,×,,,A
single,判断题：经检测不符合农产品质量安全标准的农产品，应当及时采取管控措施，但可以继续销售。,√,×,,,B
single,判断题：农药最大残留限量是指按照食品安全国家标准规定，在食品或农产品表面法定允许的农药最大浓度。,√,×,,,B
single,判断题：农业农村部负责农产品质量安全监督管理。组织开展农产品质量安全监测、追溯、风险评估。提出技术性贸易措施建议。参与制定农产品质量安全国家标准并会同有关部门组织实施。指导农业检验检测体系建设。,√,×,,,A
single,判断题：批发市场开办者需配备食品安全员，可以不配备食品安全总监。,√,×,,,B
single,判断题：企业应当配合食品安全事故调查部门开展调查工作，按照要求提供相关资料和样品。,√,×,,,A
single,判断题：日常监督检查指市级、县级市场监督管理部门按照年度食品生产经营监督检查计划，对本行政区域内食品生产经营者开展的常规性检查。,√,×,,,A
single,判断题：乳制品生产企业不得向未取得生鲜乳收购许可证的单位和个人购进生鲜乳。,√,×,,,A
single,判断题：乳制品生产企业不得向未取得生鲜乳收购许可证的单位和个人购进生鲜乳。,√,×,,,A
single,判断题：生产、销售不符合食品安全标准的食品，应当认定为《中华人民共和国刑法》第一百四十三条规定的“足以造成严重食物中毒事故或者其他严重食源性疾病”“对人体健康造成严重危害”“其他严重情节”“后果特别严重”的情形。,√,×,,,A
single,判断题：生产、销售伪劣产品罪是指生产者、销售者在产品中掺杂、掺假，以假充真，以次充好或者以不合格产品冒充合格产品。,√,×,,,A
single,判断题：生产经营者财产不足以同时承担民事赔偿责任和缴纳罚款、罚金时，先承担民事赔偿责任。,√,×,,,A
single,判断题：食品、食品添加剂、食品相关产品的生产者，应当按照食品安全标准对所生产的食品、食品添加剂、食品相关产品进行检验，检验合格后方可出厂或者销售。,√,×,,,A
single,判断题：食品、食品添加剂的生产者，应当按照食品安全标准对所生产的食品、食品添加剂进行检验，检验合格后方可出厂或者销售。,√,×,,,A
single,判断题：食品安全事故指食源性疾病、食品污染等源于食品，对人体健康有危害或者可能有危害的事故。,√,×,,,A
single,判断题：食品安全总监、食品安全员发现有食品安全事故潜在风险的，无权提出停止相关食品生产经营活动等否决建议。,√,×,,,B
single,判断题：食品安全总监、食品安全员应当按照岗位职责协助企业主要负责人做好食品安全管理工作。,√,×,,,A
single,判断题：食品包括按照传统既是食品又是中药材的物品。,√,×,,,A
single,判断题：食品包括以治疗为目的物品。,√,×,,,B
single,判断题：食品保质期是指食品在标明的贮存条件下保持品质的期限。,√,×,,,A
single,判断题：食品标识上的注册商标必须使用中文。,√,×,,,B
single,判断题：食品产品配方和工艺过程应符合相应的食品安全标准。,√,×,,,A
single,判断题：食品的产品配方一般指食品生产加工使用的各种营养素。,√,×,,,B
single,判断题：食品的贮存和运输无需遵守《中华人民共和国食品安全法》的规定。,√,×,,,B
single,判断题：食品辐照是指利用电离辐射在食品中产生的辐射化学与辐射微生物学效应而达到抑制发芽、延迟或促进成熟、杀虫、杀菌、灭菌和防腐等目的的辐照过程。,√,×,,,A
single,判断题：食品辅料一般是指加工食品时使用量较小的一种或多种物料。,√,×,,,A
single,判断题：食品加工场所是指用于食品加工处理的建筑物和场地，以及按照相同方式管理的其他建筑物、场地和周围环境等。,√,×,,,A
single,判断题：食品加工是指改变食品原料或半成品形状、大小、性质、纯度，使之符合食品标准的各种操作。,√,×,,,A
single,判断题：食品良好生产规范（Good Manufacturing Practice，GMP）是指为保证食品质量安全而制定的贯穿于食品生产全过程的一系列方法、技术要求和监控措施，是一种特别注重在生产过程中实施对产品质量与卫生安全的被动性管理的制度。,√,×,,,B
single,判断题：食品配料是指在制造或加工食品时使用的并存在（包括以改性形式存在）于最终产品的任何物质，包括水和食品添加剂。,√,×,,,A
single,判断题：食品生产经营企业应当建立健全主要负责人负总责，食品安全总监、食品安全员分级负责的责任体系。,√,×,,,A
single,判断题：食品生产经营企业应当依法配备与企业规模、食品类别、风险等级、管理水平、安全状况等相适应的食品安全总监、食品安全员等食品安全管理人员。,√,×,,,A
single,判断题：食品生产经营企业应当制定食品安全风险管控清单，建立健全“日管控、周排查、月调度”工作制度和机制。,√,×,,,A
single,判断题：食品生产经营企业主要负责人是指在本企业生产经营中承担全面领导责任的法定代表人、实际控制人等主要决策人。,√,×,,,A
single,判断题：食品生产经营者停止生产经营、召回和处置不安全食品，可以免除其他法律责任。,√,×,,,B
single,判断题：食品生产经营者应当建立食品安全追溯体系，保证食品可追溯。,√,×,,,A
single,判断题：食品生产经营者应当落实主体责任，强化道德观念，倡导诚信从业风气，促使食品安全保障由单纯依靠食品安全监管部门向多方主体主动参与，共同发挥作用的综合治理转变。,√,×,,,A
single,判断题：食品生产批次是指在食品生产过程中，根据一定的标准和要求，将生产的食品按照一定的数量或时间范围进行分类和管理的一种方法。,√,×,,,A
single,判断题：食品生产企业采购生猪产品，只需查验检疫证明即可。,√,×,,,B
single,判断题：食品生产企业已经有类似工作机制的，可以将原有制度与日管控、周排查、月调度工作机制相结合继续执行。,√,×,,,A
single,判断题：食品生产企业应当建立食品原料、食品添加剂、食品相关产品进货查验记录制度。,√,×,,,A
single,判断题：食品生产企业应当就原料检验、半成品检验、成品出厂检验等检验控制事项制定并实施控制要求，保证所生产的食品符合食品安全标准。,√,×,,,A
single,判断题：食品生产企业应当遵守广告法等法律规定，禁止在大众传播媒介或者公共场所发布声称全部或者部分替代母乳的婴儿乳制品、饮料和其他食品广告。,√,×,,,A
single,判断题：食品生产企业应对照相关食品安全国家标准规定，准确、规范标示产品标签和说明书。,√,×,,,A
single,判断题：食品生产企业应使用食品安全标准中规定的检验方法、仪器设备、操作步骤、结果判定等进行原料、半成品、成品检验。,√,×,,,A
single,判断题：食品添加剂的使用原则之一是：在达到预期效果的前提下尽可能增加在食品中的使用量。,√,×,,,B
single,判断题：食品添加剂都是人工合成的。,√,×,,,B
single,判断题：食品原料是指加工食品时使用的原始物料。,√,×,,,A
single,判断题：食用农产品包括法律法规禁止食用的野生动物产品及其制品。,√,×,,,B
single,判断题：食用农产品不包括法律法规禁止食用的野生动物产品及其制品。,√,×,,,A
single,判断题：食用农产品是指来源于种植业、林业、畜牧业和渔业等供人食用的初级产品，即在农业活动中获得的供人食用的植物、动物、微生物及其产品。,√,×,,,A
single,判断题：食源性疾病是指食品中致病因素进入人体引起的过敏性疾病。,√,×,,,B
single,判断题：同一个食品生产者从事食品生产活动，只能取得一个食品生产许可证。,√,×,,,A
single,判断题：委托生产食品、食品添加剂的，委托方、受托方应当遵守法律、法规、食品安全标准以及合同的约定，并将委托生产的食品品种、委托期限、委托方对受托方生产行为的监督等情况予以单独记录，留档备查。,√,×,,,A
single,判断题：未加碘食盐的标签可以不标注“未加碘”字样。,√,×,,,B
single,判断题：未列入“按照传统既是食品又是中药材的物质目录”的中药材不得作为食品原料使用。,√,×,,,A
single,判断题：物理性污染包括在食品中非正常性出现的能引起疾病和对个人伤害的任何异杂物污染。,√,×,,,A
single,判断题：消费者因购买、使用商品或者接受服务受到人身、财产损害的，享有依法获得赔偿的权利。,√,×,,,A
single,判断题：新食品原料生产单位应当按照新食品原料公告要求进行生产，保证新食品原料的食用安全。,√,×,,,A
single,判断题：新食品原料应当经过国务院卫生行政部门公告发布后，方可用于食品生产经营。,√,×,,,A
single,判断题：已经取得食品生产许可的食品生产者在其生产加工场所之外或者通过网络销售其生产的预包装食品的，不需要另行备案。,√,×,,,B
single,判断题：因食品安全犯罪被判处有期徒刑以上刑罚的人员，表现良好还可以担任食品安全总监、食品安全员。,√,×,,,B
single,判断题：用于食品的包装材料和容器是指包装、盛放食品或者食品添加剂用的纸、竹、木、金属、搪瓷、陶瓷、塑料、橡胶、天然纤维、化学纤维、玻璃等制品和直接接触食品或食品添加剂的涂料。,√,×,,,A
single,判断题：用于食品的洗涤剂、消毒剂是指直接用于洗涤或者消毒食品、餐具、饮具以及间接接触食品的工具、设备或者食品包装材料和容器的物质。,√,×,,,B
single,判断题：用于食品生产经营的工具、设备是指在食品或者食品添加剂生产、销售、使用过程中直接接触食品或者食品添加剂的机械、管道、传送带、容器、用具、餐具等。,√,×,,,A
single,判断题：预包装食品是指预先定量包装或者制作在包装材料、容器中的食品。,√,×,,,A
single,判断题：预防为主是指各项工作要关口前移，不要等到发生问题再查处、追责，要通过加强日常监管工作，消除隐患，防患未然。,√,×,,,A
single,判断题：在畜禽屠宰相关环节，对畜禽注水或者注入其他物质，虽不足以造成严重食物中毒事故或者其他严重食源性疾病，但符合《中华人民共和国刑法》第一百四十条规定的，以生产、销售伪劣产品罪定罪处罚。,√,×,,,A
single,判断题：直接负责的主管人员是指在违法行为中负有直接管理责任的人员，包括食品安全总监等。,√,×,,,A
